riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs6738433-C	3E-17	-	0.439245	1.19	-	[1.14-1.24]	ADCY3,DNAJC27	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	2:24936632	30677029	"Riveros-McKay F"
rs7132908-A	2E-16	-	0.362678	1.2	-	[1.15-1.26]	FAIM2	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	12:49869365	30677029	"Riveros-McKay F"
rs62107261-T	1E-15	-	0.9338326	1.65	-	[1.46-1.87]	LINC01865	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	2:422144	30677029	"Riveros-McKay F"
rs12507026-T	6E-15	-	0.409228	1.18	-	[1.13-1.23]	THAP12P9,PRDX4P1	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	4:45179317	30677029	"Riveros-McKay F"
rs75398113-C	5E-9	-	0.0803933	1.3	-	[1.19-1.42]	SNRPC	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	6:34760294	30677029	"Riveros-McKay F"
rs13135092-G	1E-8	-	0.07243	1.32	-	[1.20-1.45]	SLC39A8	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	4:102276925	30677029	"Riveros-McKay F"
rs57988840-T	4E-7	-	0.888093	1.22	-	[1.13-1.31]	TFAP2B,RPS17P5	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	6:50850035	30677029	"Riveros-McKay F"
rs4447506-G	1E-6	-	0.363877	1.11	-	[1.06-1.16]	NPM1P1,PIK3C3	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	18:41930109	30677029	"Riveros-McKay F"
"rs375252497-AAATAATAATAAT"	1E-6	-	0.317822	1.22	-	[1.13-1.32]	SEMA3B-AS1,SEMA3B	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	3:50272856	30677029	"Riveros-McKay F"
rs7927262-C	2E-6	-	0.357771	1.31	-	[1.17-1.45]	HIPK3,KIAA1549L	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	11:33362901	30677029	"Riveros-McKay F"
rs9928094-G	6E-101	-	0.413164	1.32	-	[1.29-1.36]	FTO	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	16:53765993	30677029	"Riveros-McKay F"
rs35614134-AC	2E-43	-	0.236928	1.23	-	[1.20-1.27]	MC4R,RNU4-17P	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	18:60165624	30677029	"Riveros-McKay F"
rs66906321-C	1E-34	-	0.813524	1.25	-	[1.21-1.29]	TMEM18,LINC01875	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	2:630070	30677029	"Riveros-McKay F"
rs7132908-A	2E-31	-	0.378173	1.17	-	[1.14-1.21]	FAIM2	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	12:49869365	30677029	"Riveros-McKay F"
rs2384060-G	9E-23	-	0.389048	1.14	-	[1.11-1.17]	ADCY3	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	2:24912569	30677029	"Riveros-McKay F"
rs11209947-A	5E-20	-	0.72178	1.17	-	[1.13-1.21]	LINC02796	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	1:72342868	30677029	"Riveros-McKay F"
rs12735657-C	7E-19	-	0.204588	1.15	-	[1.12-1.19]	LINC01741,SEC16B	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	1:177839998	30677029	"Riveros-McKay F"
rs13104545-A	1E-11	-	0.234519	1.13	-	[1.09-1.17]	THAP12P9,PRDX4P1	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	4:45182890	30677029	"Riveros-McKay F"
rs112446794-T	3E-10	-	0.286928	1.09	-	[1.06-1.13]	PRDM6,CEP120	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	5:123329771	30677029	"Riveros-McKay F"
rs3760091-C	3E-8	-	0.602317	1.12	-	[1.07-1.16]	SULT1A1	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	16:28609479	30677029	"Riveros-McKay F"
rs115474151-A	1E-6	-	0.0953028	1.35	-	[1.20-1.53]	SLC7A14,SLC7A14-AS1	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	3:170555178	30677029	"Riveros-McKay F"
rs199950-G	3E-6	-	0.31	-	"1.0 unit increase"	[0.58-1.42]	CACNA1E	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002692	1:181621722	25378290	"McQueen MB"
rs634010-T	5E-6	-	0.24	-	"1.04 unit increase"	[0.59-1.48]	DOCK4	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002692	7:112058053	25378290	"McQueen MB"
rs12926503-A	9E-6	-	0.85	-	"1.23 unit increase"	[0.69-1.77]	NECAB2	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002692	16:83997877	25378290	"McQueen MB"
rs8105895-T	3E-6	-	0.14	-	"1.26 unit increase"	[0.73-1.79]	ZNF208,ZNF257	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002692	19:22032655	25378290	"McQueen MB"
rs6960319-?	7E-6	-	NR	-	"0.36 unit decrease"	[0.18-0.54]	CNTNAP2	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	7:147561539	25760438	"Anderson D"
rs12897644-?	9E-7	-	NR	-	"1.54 unit increase"	[0.93-2.15]	SYNE3,LINC02292	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	14:95372064	25760438	"Anderson D"
rs11239187-?	6E-6	-	NR	-	"0.56 unit decrease"	[0.32-0.80]	RPL9P21,TMEM72-AS1	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	10:44637829	25760438	"Anderson D"
rs28580297-?	9E-6	-	NR	-	"1.46 unit decrease"	[0.81-2.11]	CEP170P1	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	4:118506802	25760438	"Anderson D"
rs7786765-?	9E-6	-	NR	-	"0.41 unit increase"	[0.23-0.59]	CALCR	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	7:93570616	25760438	"Anderson D"
rs936674-?	5E-6	-	NR	-	"1.36 unit decrease"	[0.77-1.95]	RGMA,SEPHS1P2	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	15:93360368	25760438	"Anderson D"
rs183353539-?	8E-6	-	NR	-	"1.37 unit decrease"	[0.76-1.98]	ADGRE4P,MARK2P21	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	19:6992233	25760438	"Anderson D"
rs55769859-?	5E-6	-	NR	-	"1.37 unit increase"	[0.78-1.96]	WNT7B	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	22:45957166	25760438	"Anderson D"
rs11140653-?	3E-7	-	NR	-	"0.48 unit increase"	[0.30-0.66]	SLC28A3,NTRK2	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	9:84537594	25760438	"Anderson D"
rs10841048-?	6E-7	-	NR	-	"0.71 unit increase"	[0.44-0.98]	PIK3C2G	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	12:18626325	25760438	"Anderson D"
rs12865097-?	7E-6	-	NR	-	"0.78 unit increase"	[0.45-1.11]	LINC00330,NUFIP1	"Body mass index"	"longitudinal BMI measurement"	-	GCST002805	13:44903275	25760438	"Anderson D"
rs10041997-A	4E-7	-	0.518	-	"0.138 unit increase"	[0.065-0.211]	RPL23AP44,RNU4-69P	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002575	5:120862616	25133637	"Scannell Bryan M"
rs1347155-T	5E-7	-	0.042	-	"0.341 unit increase"	[0.21-0.47]	LINC01944,SH3PXD2B	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002575	5:172542345	25133637	"Scannell Bryan M"
rs7565158-A	6E-7	-	0.495	-	"0.136 unit increase"	[0.083-0.189]	LINC01878,ERBB4	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002575	2:212729246	25133637	"Scannell Bryan M"
rs6447650-T	2E-7	(males)	0.044	-	"0.416 unit increase"	[0.26-0.57]	RNU7-74P,RBM47	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002575	4:40379193	25133637	"Scannell Bryan M"
rs347313-G	2E-8	(females)	0.322	-	"0.249 unit increase"	[0.16-0.34]	NOS1AP	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002575	1:162334486	25133637	"Scannell Bryan M"
rs1347155-T	9E-8	(females)	0.042	-	"0.559 unit increase"	[0.36-0.76]	LINC01944,SH3PXD2B	"Body mass index (change over time)"	"longitudinal BMI measurement"	-	GCST002575	5:172542345	25133637	"Scannell Bryan M"
rs1558902-A	1E-26	-	0.402	-	-	-	FTO	"Body mass index (age interaction)"	"longitudinal BMI measurement"	-	GCST002893	16:53769662	25953783	"Warrington NM"
rs571312-A	5E-9	-	0.234	-	-	-	MC4R,RNU4-17P	"Body mass index (age interaction)"	"longitudinal BMI measurement"	-	GCST002893	18:60172536	25953783	"Warrington NM"
rs4751240-?	9E-10	-	NR	-	"0.1 unit increase"	[0.071-0.129]	DOCK1	"Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"digestive system carcinoma,chronic obstructive pulmonary disease"	GCST004100	10:127338145	28044437	"McDonald MN"
rs9847124-?	6E-7	-	NR	-	"0.07 unit increase"	[0.17-0.45]	P2RY1,HMGN2P13	"Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"digestive system carcinoma,chronic obstructive pulmonary disease"	GCST004100	3:152872973	28044437	"McDonald MN"
rs3774854-?	1E-6	-	NR	-	"0.05 unit increase"	[0.028-0.072]	EVC2,EVC	"Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"digestive system carcinoma,chronic obstructive pulmonary disease"	GCST004100	4:5709641	28044437	"McDonald MN"
rs10120246-?	4E-6	-	NR	-	"0.08 unit increase"	[0.049-0.111]	PTPRD	"Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"digestive system carcinoma,chronic obstructive pulmonary disease"	GCST004100	9:9799050	28044437	"McDonald MN"
rs188981-?	7E-6	-	NR	-	"0.025 unit decrease"	-	LINC02917	"Body mass index (change over time) in cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"cancer,chronic obstructive pulmonary disease"	GCST004103	3:152136326	28044437	"McDonald MN"
rs8044868-?	8E-6	-	NR	-	"0.029 unit increase"	[0.017-0.041]	PMFBP1	"Body mass index (change over time) in cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"cancer,chronic obstructive pulmonary disease"	GCST004103	16:72128203	28044437	"McDonald MN"
rs11698834-?	9E-6	-	NR	-	"0.034 unit decrease"	[0.018-0.050]	CST2,CST5	"Body mass index (change over time) in cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"cancer,chronic obstructive pulmonary disease"	GCST004103	20:23851958	28044437	"McDonald MN"
rs712419-?	2E-6	-	NR	-	"0.076 unit increase"	[0.047-0.105]	RRAGAP1-AS1,LINC02277	"Body mass index (change over time) in lung cancer"	"longitudinal BMI measurement"	"lung carcinoma"	GCST004104	14:44734273	28044437	"McDonald MN"
rs17601580-?	2E-6	-	NR	-	"0.112 unit decrease"	[0.069-0.155]	ENPP3	"Body mass index (change over time) in lung cancer"	"longitudinal BMI measurement"	"lung carcinoma"	GCST004104	6:131740280	28044437	"McDonald MN"
rs4346053-?	4E-6	-	NR	-	"0.1033 unit decrease"	[0.062-0.144]	PKP2,ASS1P14	"Body mass index (change over time) in lung cancer"	"longitudinal BMI measurement"	"lung carcinoma"	GCST004104	12:32962886	28044437	"McDonald MN"
rs4751240-?	2E-8	-	NR	-	"0.1 kg/m2 increase"	[0.067-0.133]	DOCK1	"Body mass index (change over time) in gastrointestinal cancer"	"longitudinal BMI measurement"	"digestive system carcinoma"	GCST004101	10:127338145	28044437	"McDonald MN"
rs3758141-?	7E-6	-	NR	-	"0.087 unit increase"	[0.050-0.124]	PSD3	"Body mass index (change over time) in gastrointestinal cancer"	"longitudinal BMI measurement"	"digestive system carcinoma"	GCST004101	8:18870439	28044437	"McDonald MN"
rs927251-?	9E-6	-	NR	-	"0.083 unit increase"	[0.048-0.118]	SLC35F4	"Body mass index (change over time) in gastrointestinal cancer"	"longitudinal BMI measurement"	"digestive system carcinoma"	GCST004101	14:57844417	28044437	"McDonald MN"
rs41526344-?	4E-8	-	NR	-	"0.13 unit increase"	[0.083-0.177]	CNTN4	"Body mass index (change over time) in chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"chronic obstructive pulmonary disease"	GCST004105	3:2943458	28044437	"McDonald MN"
rs1751857-?	4E-7	-	NR	-	"0.11 unit increase"	[0.069-0.151]	LINC00598	"Body mass index (change over time) in chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"chronic obstructive pulmonary disease"	GCST004105	13:40395301	28044437	"McDonald MN"
rs17107133-?	2E-6	-	NR	-	"0.1 unit increase"	[0.059-0.141]	JAKMIP2,JAKMIP2-AS1	"Body mass index (change over time) in chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"chronic obstructive pulmonary disease"	GCST004105	5:147679452	28044437	"McDonald MN"
rs34585985-?	3E-6	-	NR	-	"0.12 unit increase"	[0.071-0.169]	ST13P19,HHAT	"Body mass index (change over time) in chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"chronic obstructive pulmonary disease"	GCST004105	1:210316066	28044437	"McDonald MN"
rs677673-?	6E-6	-	NR	-	"0.092 unit decrease"	[0.053-0.131]	SLX4IP	"Body mass index (change over time) in chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"chronic obstructive pulmonary disease"	GCST004105	20:10501124	28044437	"McDonald MN"
rs10507285-?	8E-6	-	NR	-	"0.075 unit increase"	[0.042-0.108]	KSR2	"Body mass index (change over time) in chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"chronic obstructive pulmonary disease"	GCST004105	12:117858119	28044437	"McDonald MN"
rs7042889-?	1E-7	-	NR	-	"0.136 unit decrease"	[0.087-0.185]	MIGA2,SH3GLB2	"Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"lung carcinoma,chronic obstructive pulmonary disease"	GCST004102	9:129033082	28044437	"McDonald MN"
rs34585985-?	3E-7	-	NR	-	"0.121 unit increase"	[0.076-0.166]	ST13P19,HHAT	"Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"lung carcinoma,chronic obstructive pulmonary disease"	GCST004102	1:210316066	28044437	"McDonald MN"
rs17264034-?	6E-7	-	NR	-	"0.081 unit decrease"	[0.052-0.110]	SNHG18	"Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"lung carcinoma,chronic obstructive pulmonary disease"	GCST004102	5:9557490	28044437	"McDonald MN"
rs6885147-?	3E-6	-	NR	-	"0.086 unit decrease"	[0.051-0.121]	ADAMTS6	"Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"lung carcinoma,chronic obstructive pulmonary disease"	GCST004102	5:65152843	28044437	"McDonald MN"
rs16869212-?	9E-6	-	NR	-	"0.079 unit decrease"	[0.076-0.082]	MYO10	"Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease"	"longitudinal BMI measurement"	"lung carcinoma,chronic obstructive pulmonary disease"	GCST004102	5:16881981	28044437	"McDonald MN"
rs8044868-?	5E-6	-	NR	-	"0.031 unit increase"	[0.018-0.044]	PMFBP1	"Body mass index (change over time) in cancer"	"longitudinal BMI measurement"	cancer	GCST004106	16:72128203	28044437	"McDonald MN"
rs9436303-G	8E-9	-	0.22	-	"0.07 unit increase"	[0.05-0.09]	LEPROT,LEPR	"BMI at adiposity peak"	"longitudinal BMI measurement"	-	GCST009556	1:65430991	31840077	"Couto Alves A"
rs10515235-A	2E-6	-	0.21	-	"0.05 unit increase"	[0.03-0.07]	CAST	"BMI at adiposity peak"	"longitudinal BMI measurement"	-	GCST009556	5:96323352	31840077	"Couto Alves A"
rs10938397-G	3E-8	-	0.35	-	"0.06 unit increase"	[0.04-0.08]	THAP12P9,PRDX4P1	"BMI at adiposity rebound"	"longitudinal BMI measurement"	-	GCST009554	4:45180510	31840077	"Couto Alves A"
rs2055816-C	5E-6	-	0.25	-	"0.07 unit decrease"	[0.031-0.109]	DLG2	"BMI at adiposity rebound"	"longitudinal BMI measurement"	-	GCST009554	11:85406487	31840077	"Couto Alves A"
rs13015992-G	4E-6	(BMI)	0.3735	-	"0.01489 unit increase"	NR	KCNS3	"Physiological traits"	"longitudinal BMI measurement"	-	GCST010059	2:18075653	31902109	"Li D"
rs6897876-C	6E-6	(BMI)	0.2682	-	"0.01607 unit increase"	NR	NDFIP1,SPRY4	"Physiological traits"	"longitudinal BMI measurement"	-	GCST010059	5:142308074	31902109	"Li D"
rs1485315-C	5E-6	(BMI)	0.354	-	"0.01508 unit decrease"	NR	COLEC10	"Physiological traits"	"longitudinal BMI measurement"	-	GCST010059	8:119059659	31902109	"Li D"
rs17698894-A	6E-6	(BMI)	0.2245	-	"0.01691 unit decrease"	NR	ELAVL2,IZUMO3	"Physiological traits"	"longitudinal BMI measurement"	-	GCST010059	9:24241835	31902109	"Li D"
chr5:171275948-?	1E-8	-	NR	-	"0.2472 unit increase"	[0.15-0.34]	-	"Longitudinal body mass index"	"longitudinal BMI measurement"	-	GCST90134428	-	35794696	"Chung W"
chr16:53800954-?	2E-8	-	NR	-	"0.3622 unit increase"	[0.23-0.5]	-	"Longitudinal body mass index"	"longitudinal BMI measurement"	-	GCST90134428	-	35794696	"Chung W"
rs1421085-C	3E-30	-	0.25	-	"0.12 unit decrease"	[0.1-0.14]	FTO	"Age at adiposity rebound"	"longitudinal BMI measurement,age at assessment"	-	GCST009555	16:53767042	31840077	"Couto Alves A"
rs2817419-A	4E-11	-	0.76	-	"0.08 unit decrease"	[0.06-0.1]	TFAP2B	"Age at adiposity rebound"	"longitudinal BMI measurement,age at assessment"	-	GCST009555	6:50845193	31840077	"Couto Alves A"
rs78310016-G	4E-8	-	0.0726	-	"1.052 unit increase"	NR	ANXA2R-OT1	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	5:42949533	32126890	"Ter Hark SE"
rs57818938-T	1E-6	-	0.0611	-	"0.9321 unit increase"	NR	LSINCT5,Y_RNA	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	5:2277955	32126890	"Ter Hark SE"
rs10278819-C	2E-6	-	0.1023	-	"0.873 unit increase"	NR	TMBIM7P	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	7:92428006	32126890	"Ter Hark SE"
rs7024062-A	2E-6	-	0.1931	-	"0.5885 unit decrease"	NR	TJP2	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	9:69130157	32126890	"Ter Hark SE"
rs10070777-A	4E-6	-	0.0743	-	"0.8786 unit increase"	NR	TMEM161B,LINC02488	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	5:88128948	32126890	"Ter Hark SE"
rs13230004-A	4E-6	-	0.2724	-	"0.5336 unit increase"	NR	SLC29A4	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	7:5305719	32126890	"Ter Hark SE"
rs1048163-G	5E-6	-	0.3383	-	"0.4495 unit increase"	NR	PAK6,BUB1B-PAK6,PAK6-AS1	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	15:40251022	32126890	"Ter Hark SE"
rs927899-C	9E-6	-	NR	-	"0.7423 unit increase"	NR	TNNI1,PHLDA3	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	1:201459425	32126890	"Ter Hark SE"
rs2129108-A	8E-6	-	NR	-	"0.7948 unit increase"	NR	TTN	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	2:178810202	32126890	"Ter Hark SE"
rs9836481-A	8E-6	-	NR	-	"0.9768 unit increase"	NR	MRPS31P1,RPS27P4	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	3:41148232	32126890	"Ter Hark SE"
rs41501-A	8E-6	-	NR	-	"0.5127 unit increase"	NR	LINC02112,TAS2R1	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	5:9663747	32126890	"Ter Hark SE"
rs28800-A	5E-6	-	NR	-	"0.5223 unit increase"	NR	LINC02112,TAS2R1	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	5:9666433	32126890	"Ter Hark SE"
rs28716841-C	9E-6	-	NR	-	"0.8716 unit increase"	NR	FSTL4	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	5:133397775	32126890	"Ter Hark SE"
rs11979775-C	5E-6	-	NR	-	"0.5007 unit increase"	NR	SLC29A4	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	7:5302782	32126890	"Ter Hark SE"
rs112045010-C	5E-6	-	NR	-	"0.9056 unit increase"	NR	C12orf56	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	12:64331934	32126890	"Ter Hark SE"
rs17834779-A	7E-6	-	NR	-	"0.4471 unit increase"	NR	KCNH5,ATP5F1AP4	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	14:62656081	32126890	"Ter Hark SE"
rs1048164-A	9E-6	-	NR	-	"0.4365 unit increase"	NR	BUB1B-PAK6,PAK6,PAK6-AS1	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	15:40250903	32126890	"Ter Hark SE"
rs76356591-T	6E-6	-	NR	-	"0.5878 unit increase"	NR	SRL,ADCY9	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	16:4137064	32126890	"Ter Hark SE"
rs17546654-A	7E-6	-	NR	-	"0.5526 unit increase"	NR	GFAP,KIF18B	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	17:44917727	32126890	"Ter Hark SE"
rs8092589-A	9E-6	-	NR	-	"0.4724 unit increase"	NR	SLC14A2	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	18:45649289	32126890	"Ter Hark SE"
rs10426669-G	6E-6	-	NR	-	"0.7649 unit increase"	NR	SEMA6B	"Weight gain in amisulpride-treated first-episode psychosis"	"longitudinal BMI measurement,response to amisulpride"	psychosis	GCST010007	19:4564769	32126890	"Ter Hark SE"
