riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2094716-?	6E-7	-	NR	-	"0.06 unit decrease"	-	PELATON,CEBPB	"Cystic fibrosis-related diabetes in cystic fibrosis"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104460	20:50218794	36206743	"Aksit MA"
rs2036100-?	4E-6	-	NR	-	"0.057 unit decrease"	-	SLC26A9	"Cystic Fibrosis-Related Diabetes in Cystic Fibrosis (adjusted for Meconium Ileus)"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104461	1:205938744	36206743	"Aksit MA"
rs1874361-?	4E-7	-	NR	-	"0.061 unit decrease"	-	SLC26A9	"Cystic Fibrosis-Related Diabetes in Cystic Fibrosis (adjusted for Meconium Ileus)"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104461	1:205939058	36206743	"Aksit MA"
rs4077468-?	9E-6	-	NR	-	"0.055 unit decrease"	-	SLC26A9,RAB7B	"Cystic Fibrosis-Related Diabetes in Cystic Fibrosis (adjusted for Meconium Ileus)"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104461	1:205945629	36206743	"Aksit MA"
rs6095829-?	8E-7	-	NR	-	"0.06 unit decrease"	-	PELATON,CEBPB	"Cystic Fibrosis-Related Diabetes in Cystic Fibrosis (adjusted for Meconium Ileus)"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104461	20:50214170	36206743	"Aksit MA"
rs10830962-G	2E-13	-	0.430	1.454	-	[1.315-1.608]	SNRPGP16,MTNR1B	"Diabetes (gestational)"	"gestational diabetes"	-	GCST001375	11:92965261	22233651	"Kwak SH"
rs1470579-C	2E-7	-	0.293	1.332	-	[1.197-1.484]	IGF2BP2	"Diabetes (gestational)"	"gestational diabetes"	-	GCST001375	3:185811292	22233651	"Kwak SH"
rs7754840-C	7E-16	-	0.445	1.518	-	[1.372-1.680]	CDKAL1	"Diabetes (gestational)"	"gestational diabetes"	-	GCST001375	6:20661019	22233651	"Kwak SH"
kgp12506180-C	7E-6	-	0.2217	3.9077766	-	[NR]	-	"Diabetes (gestational)"	"gestational diabetes"	-	GCST008448	-	31269844	"Wu NN"
rs10220124-A	3E-6	-	0.008696	14.65	-	[NR]	SLITRK6,MOB1AP1	"Diabetes (gestational)"	"gestational diabetes"	-	GCST008448	13:85834386	31269844	"Wu NN"
rs7254268-A	7E-6	-	0.213	2.595	-	[NR]	LTBP4,NUMBL	"Diabetes (gestational)"	"gestational diabetes"	-	GCST008448	19:40635529	31269844	"Wu NN"
rs6821589-?	8E-7	-	NR	2.86	-	[1.8-4.54]	PPM1K	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90095480	4:88271640	34834527	"Park S"
rs2274034-?	3E-6	-	NR	0.72	-	[0.08-0.62]	IL15RA	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90095480	10:5977285	34834527	"Park S"
rs148031082-?	4E-6	-	NR	2.48	-	[1.61-3.82]	PPP1R12A	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90095480	12:79915876	34834527	"Park S"
rs10830963-?	7E-38	-	NR	-	-	-	MTNR1B	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90297786	11:92975544	38372780	"Zhen J"
rs13266634-?	3E-10	-	NR	-	-	-	SLC30A8	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90297786	8:117172544	38372780	"Zhen J"
rs1597916-?	1E-8	-	NR	-	-	-	CPO	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90297786	2:206947000	38372780	"Zhen J"
rs7766070-?	5E-13	-	NR	-	-	-	CDKAL1	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90297786	6:20686342	38372780	"Zhen J"
rs780093-?	8E-13	-	NR	-	"0.12 unit increase"	[0.087-0.153]	GCKR	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	2:27519736	38182742	"Elliott A"
rs1402837-?	5E-9	-	NR	-	"0.12 unit increase"	[0.079-0.161]	SPC25	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	2:168900844	38182742	"Elliott A"
rs6798189-?	5E-10	-	NR	-	"0.14 unit decrease"	[0.097-0.183]	ADCY5	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	3:123376465	38182742	"Elliott A"
rs1820176-?	2E-17	-	NR	-	"0.16 unit decrease"	[0.12-0.2]	CAST	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	5:96360881	38182742	"Elliott A"
rs34499031-?	2E-8	-	NR	-	"0.1 unit increase"	[0.065-0.135]	CDKAL1	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	6:20676184	38182742	"Elliott A"
rs34872471-?	1E-12	-	NR	-	"0.14 unit increase"	[0.1-0.18]	TCF7L2	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	10:112994312	38182742	"Elliott A"
rs10830963-?	2E-146	-	NR	-	"0.43 unit increase"	[0.4-0.46]	MTNR1B	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	11:92975544	38182742	"Elliott A"
rs76895963-?	3E-12	-	NR	-	"0.41 unit decrease"	[0.29-0.53]	CCND2-AS1,CCND2	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	12:4275678	38182742	"Elliott A"
rs56381411-?	4E-6	-	NR	-	"0.4 unit decrease"	[0.23-0.57]	MAP3K15	"Gestational diabetes"	"gestational diabetes"	-	GCST90296696	X:19380197	38182742	"Elliott A"
rs62069863-?	2E-7	-	NR	2.196	-	[1.629-2.96]	TRPV3	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90454184	17:3524882	38087213	"Yue S"
rs2232016-?	1E-6	-	NR	2.689	-	[1.785-4.051]	PRMT6	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90454184	1:107057296	38087213	"Yue S"
rs10830963-G	4E-54	-	NR	1.41	-	[1.35-1.47]	MTNR1B	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90239750	11:92975544	35220425	"Pervjakova N"
rs7903146-T	4E-16	-	NR	1.22	-	[1.16-1.27]	TCF7L2	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90239750	10:112998590	35220425	"Pervjakova N"
rs9348441-A	2E-14	-	NR	1.13	-	[1.08-1.18]	CDKAL1	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90239750	6:20680447	35220425	"Pervjakova N"
rs10811662-G	4E-9	-	NR	1.14	-	[1.09-1.2]	CDKN2B-AS1	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90239750	9:22134254	35220425	"Pervjakova N"
rs9663238-G	3E-8	-	NR	1.14	-	[1.09-1.19]	HKDC1	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90239750	10:69223873	35220425	"Pervjakova N"
rs1260326-?	7E-7	-	NR	-	"0.109 unit increase"	[0.068-0.15]	GCKR	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90239750	2:27508073	35220425	"Pervjakova N"
rs7633675-?	1E-6	-	NR	-	"0.0996 unit increase"	[0.058-0.141]	IGF2BP2	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90239750	3:185792825	35220425	"Pervjakova N"
rs77464186-?	6E-6	-	NR	-	"0.1119 unit increase"	[0.059-0.165]	ARAP1	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90239750	11:72749353	35220425	"Pervjakova N"
rs10830963-?	5E-41	-	NR	-	-	-	MTNR1B	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90245820	11:92975544	36553520	"Changalidis AI"
rs36090025-?	4E-15	-	NR	-	-	-	TCF7L2	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90245820	10:113014674	36553520	"Changalidis AI"
rs780094-?	4E-6	-	NR	-	-	-	GCKR	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90245820	2:27518370	36553520	"Changalidis AI"
rs9275373-?	2E-8	-	NR	-	-	-	HLA-DQB1,MTCO3P1	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90245820	6:32700634	36553520	"Changalidis AI"
rs2236835-A	8E-10	-	NR	-	"0.1 unit increase"	-	PAX7	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	1:18663757	37779084	"Li Y"
rs358806-A	8E-8	-	NR	-	"0.09 unit decrease"	-	LINC02030	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	3:55279372	37779084	"Li Y"
rs10758593-A	8E-8	-	NR	-	"0.09 unit increase"	-	GLIS3	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	9:4292083	37779084	"Li Y"
rs10963767-C	4E-15	-	NR	-	"0.14 unit increase"	-	ADAMTSL1	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	9:18797922	37779084	"Li Y"
rs7095095-G	9E-8	-	NR	-	"0.09 unit decrease"	-	LINC02664	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	10:31072535	37779084	"Li Y"
rs7903146-T	2E-19	-	NR	-	"0.18 unit increase"	-	TCF7L2	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	10:112998590	37779084	"Li Y"
rs7925879-G	3E-11	-	NR	-	"0.11 unit increase"	-	ROBO3	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	11:124870795	37779084	"Li Y"
chr16:81534790-A	6E-12	-	NR	-	"0.12 unit increase"	-	-	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	-	37779084	"Li Y"
rs3786897-G	7E-11	-	NR	-	"0.11 unit increase"	-	PEPD	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	19:33402102	37779084	"Li Y"
rs4811839-G	6E-10	-	NR	-	"0.1 unit increase"	-	RAE1,MTND1P9	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	20:57357551	37779084	"Li Y"
rs28691713-T	7E-8	-	NR	-	"0.08 unit increase"	-	PIM3	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	22:49962654	37779084	"Li Y"
rs12009114-C	6E-8	-	NR	-	"0.08 unit increase"	-	APOO	"Gestational diabetes mellitus"	"gestational diabetes"	-	GCST90428870	X:23900803	37779084	"Li Y"
rs2414295-G	8E-6	-	NR	1.502262	-	[1.257266-1.794999]	UNC13C	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	15:54212620	38714721	"Khan RR"
rs118117464-G	9E-6	-	NR	3.356492	-	[1.965247-5.732632]	NR2F2-AS1,RNU2-3P	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	15:96076672	38714721	"Khan RR"
rs145457945-G	2E-6	-	NR	3.190809	-	[1.971627-5.163889]	HPSE2	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	10:98847250	38714721	"Khan RR"
rs117607381-T	3E-6	-	NR	2.803617	-	[1.82225-4.313494]	LDLRAD4	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	18:13279102	38714721	"Khan RR"
rs72924790-G	3E-6	-	NR	2.574747	-	[1.73093-3.829918]	RAB27B	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	18:54871003	38714721	"Khan RR"
chr18:40145700-C	4E-6	-	NR	2.005626	-	[1.493726-2.692953]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs117023857-C	3E-6	-	NR	2.053683	-	[1.517025-2.780188]	SEPTIN9	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	17:77327670	38714721	"Khan RR"
rs149824410-A	3E-6	-	NR	3.831	-	[2.17528-6.746976]	OSTF1P1,RN7SKP216	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	12:114556372	38714721	"Khan RR"
chr8:20954593-T	5E-6	-	NR	1.886636	-	[1.437003-2.476958]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs10098770-G	7E-6	-	NR	2.032229	-	[1.493427-2.765422]	MED30,EXT1	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	8:117656164	38714721	"Khan RR"
rs78554731-T	5E-6	-	NR	2.342479	-	[1.626025-3.374615]	APOBEC3C,APOBEC3B-AS1	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	22:39004961	38714721	"Khan RR"
chr19:46502477-G	5E-6	-	NR	2.829187	-	[1.81048-4.421091]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
chr19:4289672-A	6E-6	-	NR	3.538	-	[2.045241-6.120279]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs146006635-A	7E-6	-	NR	2.390374	-	[1.636816-3.490855]	MUC12-AS1,MUC17	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	7:101029289	38714721	"Khan RR"
rs35987793-G	7E-6	-	NR	1.649903	-	[1.325953-2.052998]	PLXNA4	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	7:132256451	38714721	"Khan RR"
rs111833092-T	7E-6	-	NR	2.448864	-	[1.655291-3.62289]	ING3,TSPAN12	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	7:120901174	38714721	"Khan RR"
chr21:42358730-T	8E-6	-	NR	2.497089	-	[1.673201-3.726662]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs118055049-C	8E-6	-	NR	2.043009	-	[1.494794-2.792281]	RORB-AS1,RNA5SP286	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	9:73802508	38714721	"Khan RR"
rs1542208-C	1E-7	-	NR	1.806533	-	[1.449554-2.251424]	LNPK,EVX2	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	2:176067408	38714721	"Khan RR"
rs35766880-T	2E-6	-	NR	0.619709	-	[0.508678-0.754976]	RN7SKP93,MGAT5	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	2:133952248	38714721	"Khan RR"
rs1446394-C	2E-6	-	NR	2.139577	-	[1.561751-2.931191]	MRPS18BP2,SNORA72	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	2:139518787	38714721	"Khan RR"
rs148128020-A	3E-6	-	NR	3.81	-	[2.176389-6.669811]	TRIB2,LINC00276	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	2:13462093	38714721	"Khan RR"
rs115177932-T	8E-6	-	NR	2.303377	-	[1.596324-3.323602]	TACR1,GAPDHP57	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	2:75300946	38714721	"Khan RR"
rs113491848-C	2E-7	-	NR	3.601	-	[2.231706-5.810443]	CASC6	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	6:91685505	38714721	"Khan RR"
rs112056959-T	2E-7	-	NR	3.401	-	[2.140373-5.404105]	CASC6,MIR4643	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	6:91532064	38714721	"Khan RR"
rs190618220-C	4E-6	-	NR	3.419	-	[2.022757-5.779025]	Y_RNA,RNU4-12P	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	6:85838531	38714721	"Khan RR"
chr6:94700054-T	6E-6	-	NR	2.239934	-	[1.579907-3.175697]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs76418129-A	3E-7	-	NR	3.276547	-	[2.0794-5.162913]	DLEU1,RNASEH2B-AS1	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	13:50881216	38714721	"Khan RR"
rs111466952-G	5E-7	-	NR	3.39	-	[2.103261-5.463943]	RPL7P45,DAOA-AS1	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	13:105416385	38714721	"Khan RR"
chr13:41882052-T	6E-6	-	NR	3.681	-	[2.093713-6.471641]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs117689036-C	5E-7	-	NR	2.931411	-	[1.927481-4.458238]	MDGA2	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	14:47184572	38714721	"Khan RR"
rs12432666-C	7E-6	-	NR	1.640887	-	[1.321882-2.036878]	NEMF	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	14:49846490	38714721	"Khan RR"
rs12890903-T	8E-6	-	NR	1.475075	-	[1.24355-1.749704]	PRIMA1,FAM181A-AS1	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	14:93869573	38714721	"Khan RR"
rs779701135-A	7E-7	-	NR	3.04	-	[1.959511-4.716279]	NALF2	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	X:69506787	38714721	"Khan RR"
rs6832199-G	1E-6	-	NR	1.998357	-	[1.51425-2.637234]	IGFBP7	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	4:57096401	38714721	"Khan RR"
rs138547276-A	1E-6	-	NR	3.41	-	[2.079045-5.593]	ACTR6P1,LINC02173	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	4:106609371	38714721	"Khan RR"
rs4057780-C	1E-6	-	NR	2.393752	-	[1.67987-3.411008]	NPY5R,RPL35AP12	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	4:163355377	38714721	"Khan RR"
rs141673378-T	3E-6	-	NR	4.012	-	[2.246656-7.16449]	RNU7-126P,ANAPC4	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	4:25479711	38714721	"Khan RR"
rs113885148-A	3E-6	-	NR	2.255921	-	[1.602571-3.175633]	PRSS12,NDUFS5P5	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	4:118370662	38714721	"Khan RR"
rs12507205-A	4E-6	-	NR	2.801858	-	[1.812373-4.331562]	LINC00616	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	4:138056291	38714721	"Khan RR"
chr15:27417735-A	2E-6	-	NR	2.683049	-	[1.790141-4.021334]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs148647963-T	4E-6	-	NR	2.74	-	[1.783335-4.209865]	AGBL1	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	15:86663797	38714721	"Khan RR"
rs79596863-A	1E-8	-	NR	2.751885	-	[1.947208-3.889091]	RPLP0P9,RPL7P20	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	5:166060445	38714721	"Khan RR"
rs147311205-C	5E-6	-	NR	4.014	-	[2.208509-7.295509]	RNU6-679P,CTNND2	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	5:12135590	38714721	"Khan RR"
rs72789626-A	8E-6	-	NR	1.68572	-	[1.340506-2.119834]	EFNA5	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	5:107489917	38714721	"Khan RR"
rs61167087-G	3E-8	-	NR	3.26028	-	[2.147005-4.950814]	ZBTB20	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	3:114801706	38714721	"Khan RR"
rs11929677-C	2E-6	-	NR	2.02462	-	[1.517257-2.701641]	CLDN16	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	3:190399640	38714721	"Khan RR"
rs13069093-G	2E-6	-	NR	3.736	-	[2.159694-6.46281]	SYNPR,SYNPR-AS1	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	3:63517588	38714721	"Khan RR"
rs116838442-T	5E-6	-	NR	3.126	-	[1.915835-5.100583]	CNTN3,NIPA2P2	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	3:74824512	38714721	"Khan RR"
rs10890563-T	4E-8	-	NR	1.938593	-	[1.531255-2.45429]	GUCY1A2	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	11:106675610	38714721	"Khan RR"
rs12141591-G	1E-7	-	NR	2.044644	-	[1.571481-2.660272]	LEPR	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	1:65519823	38714721	"Khan RR"
rs192645808-T	7E-6	-	NR	3.597	-	[2.060002-6.280774]	PRUNE1	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	1:151012028	38714721	"Khan RR"
chr1:241540257-T	7E-6	-	NR	0.593136	-	[0.472215-0.745021]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs117370931-G	1E-7	-	NR	2.764647	-	[1.898479-4.025997]	ME2P1,LINGO2	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	9:29320651	38714721	"Khan RR"
chr9:77970228-C	5E-6	-	NR	2.389202	-	[1.64489-3.470314]	-	"Gestational diabetes in nulliparas"	"gestational diabetes"	"number of children ever born measurement"	GCST90429688	-	38714721	"Khan RR"
rs10497721-?	7E-7	" "	NR	-	-	-	CAVIN2-AS1,TMEFF2	"Diabetes (incident)"	"diabetes mellitus"	-	GCST000108	2:192049636	17903298	"Meigs JB"
chr5:103003035-G	2E-12	-	0.009	1.402	-	[1.276-1.54]	-	"Diabetes mellitus (UKB data field 2443)"	"diabetes mellitus"	-	GCST90078949	-	34662886	"Backman JD"
rs35198068-?	7E-98	-	NR	-	-	-	TCF7L2	"Diabetes (confirmatory factor analysis Factor 28)"	"diabetes mellitus"	-	GCST90309362	10:112995025	38965376	"Carey CE"
rs1065853-?	1E-25	-	NR	-	-	-	APOC1,APOE	"Diabetes (confirmatory factor analysis Factor 28)"	"diabetes mellitus"	-	GCST90309362	19:44909976	38965376	"Carey CE"
rs76895963-?	9E-21	-	NR	-	-	-	CCND2-AS1,CCND2	"Diabetes (confirmatory factor analysis Factor 28)"	"diabetes mellitus"	-	GCST90309362	12:4275678	38965376	"Carey CE"
